Post,Caption,Date,likesComment,IdFatherComment,IdChildComment,Username
B166OkVBPJR,'@juan_______',Tue Mar  8 21:38:11 2022,0,17910407291451094,NONE,alma_almah
B166OkVBPJR,'@daris.dmrvc du bei mir',Sat Mar  5 19:10:54 2022,1,17913660113261784,NONE,faruk.mhdvc
B166OkVBPJR,'*haha inrerior * interior',Sat Feb 19 05:04:07 2022,1,17940323623880180,NONE,anatolx23
B166OkVBPJR,'Should be brown inrerior thoughð\x9f\x98\x82ð\x9f\x94¥â\x9d¤ï¸\x8fð\x9f\x99\x8c @anatolx23 @marvelboy2man ð\x9f\x98\x82 @snoopdogg @thirdmanrecordscasscorridor â\x9d¤ï¸\x8fð\x9f\x91\x8f',Sat Feb 19 05:03:40 2022,1,17919467210272904,NONE,anatolx23
B166OkVBPJR,'@jules.elwood ð\x9f\x98\x82',Mon Feb  7 17:04:05 2022,0,17915769605159114,NONE,amy_elwood_13
B166OkVBPJR,'ð\x9f\x98\x8dâ\x9d¤ï¸\x8fð\x9f\x98\x8dð\x9f\x98\x8dð\x9f\x98\x8dâ\x9d¤ï¸\x8fâ\x9d¤ï¸\x8fâ\x9d¤ï¸\x8fâ\x9d¤ï¸\x8f',Sat Jan 15 18:25:21 2022,0,17934069943821389,NONE,parsa_aryaaa
B166OkVBPJR,'@_sonxkshi_',Thu Jan 13 11:11:30 2022,0,17933817664815731,NONE,s_t_e_l_l_i_n_a_01
B166OkVBPJR,@s_t_e_l_l_i_n_a_01 ð,Thu Jan 13 11:38:41 2022,0,17933817664815731,17908789040500083,ig_sonxkshi_
B166OkVBPJR,'@suit_up_romeo ð\x9f\x98\x8bð\x9f¤¤ Seriously so yum ð\x9f¤¤',Tue Dec 21 00:01:33 2021,1,18015332041330937,NONE,jennyjenjen_xoxoxo
B166OkVBPJR,'Eight billion dollars ð\x9f\x92µ Candice Swanepoel Tree ð\x9f\x8c³ Billion Metal Cars ð\x9f\x9a\x99ð\x9f\x92¿ð\x9f\x87®ð\x9f\x87¹ð\x9f\x9a\x97ð\x9f\x87\xadð\x9f\x87°ð\x9f\x9a\x99ð\x9f\x8c³ð\x9f\x87¬ð\x9f\x87ªð\x9f\x8f\x82ð\x9f\x90ºð\x9f\x87¦ð\x9f\x87ºð\x9f\x8c\x8eð\x9f\x92µð\x9f\x8d\x8bð\x9f\x8d\x93â\x9c\x88ï¸\x8fð\x9f\x9a\x81ð\x9f\x9a\x81ð\x9f\x92¶ð\x9f\x92\x80ð\x9f\x8e¥ð\x9f\x8e¥ð\x9f¦¹â\x80\x8dâ\x99\x80ï¸\x8fð\x9f¦¹â\x80\x8dâ\x99\x80ï¸\x8fð\x9f\x87¬ð\x9f\x87§ð\x9f\x87ºð\x9f\x87¸ð\x9f\x87²ð\x9f\x87¦ð\x9f\x92«ð\x9f\x91\x80ð\x9f\x91\x80ð\x9f\x8c\x83',Thu Dec  9 13:56:25 2021,0,17951148130559062,NONE,afzal_ibm_lamborghini_amg_1999
B166OkVBPJR,'Dam thatâ\x80\x99s all? Im gettin one',Fri Dec  3 22:50:42 2021,0,17904970037196554,NONE,papa_sann
B166OkVBPJR,'HUSSEIN MOHAMMED AHMED YUSUF AHMED ALI HUSSEIN MOHAMMED YUSUF ALI MOHAMMED YUSUF AHMED ALI HUSSEIN MUHAMMED ALI MUHAMMAD ONE â\x98\x9dï¸\x8f HUNDRED BILLION DOLLARS ð\x9f\x92µ',Sat Nov 20 13:38:43 2021,0,17995311133390155,NONE,afzal_ibm_lamborghini_amg_1999
B166OkVBPJR,'@soyycarmen',Fri Nov 12 15:15:27 2021,2,17919263366048806,NONE,massatcody
B166OkVBPJR,'@azzxn_',Wed Nov  3 23:17:59 2021,1,17870449559609248,NONE,zariaamoon_
B166OkVBPJR,@zariaamoon_ try sittin in da frontð,Wed Nov  3 23:18:51 2021,1,17870449559609248,17964120817454238,azzxn_
B166OkVBPJR,'@alomancy ð\x9f\x98\x82',Mon Oct 25 14:23:23 2021,0,17935518901648283,NONE,sarah.h.stewart
B166OkVBPJR,'@christianlastric ð\x9f\x94¥',Sun Sep 19 02:58:13 2021,1,17915052268987244,NONE,tat__janaa
